WP_CD;WP_TTL
T313;Uses of Mobile Telematics for Emergency Health Care Situations
T314;Telematic and information Systems for departmental Environment
T315;Development of a pilot for a decentralised Hospital Information System (HIS)
T316;Development of Pilot for the Use of Smart Card for Patient Data Card and Access control
T317;Development of Medical Software Engineering Tools
T321;Clinical evaluation of integration of KBS with databases and HIS
T322;Pilot Evaluation and Certification for Advanced Informatics Systems in Health Care
T323;Integration of National Medical Information Systems
T324;Telemedicine Network Management Systems (TNMS)
T325;Inter-Hospital Telematics for Increased Security in Distance Care and Improved Management of Staff and Specialized Equipment
T326;Data protection and confdentiality
T231;Management and quality assessment of biomedical technology
T241;Knowledge capture
T242;Architectures for Medical Knowledge Based systems
T251;User Requirements and Ergonomics for Medical Workstations
T252;Human-Machine Interfaces for Health Care Information Systems
T261;European Meidcal Communications Backbone and Telemedicine Services
T262;HIS and Integrated Communication Networks
T271;Telematics for Primary Health Care
T272;IT&T Based Education and Training in Medical and Health Care Activities
T273;IT&T based Health Educations and Training for Specific Groups of Patients and for the General Population
T281;HIS and the Smart Hospital Concept
T282;Integrated Picture Archiving and Communications Systems (PACS)
T283;Distributed Medical Multimedia Databases
T291;Systems and Tools for Distant Functional Evaluation of Handicaps and Monitoring and Support of Home Care
T292;Advanced Support Tools for Making Technology more Accessible for Disabled People
T324;Special facilities for vulnerable road users
T415;Vulnerable road users
T317;Trip planning system
B;Reduction of iron ores
C1;Primary steelmaking
C2;Secondary steelmaking
C3;Casting and solidification
D1;Rolling: long products and reheating surfaces
D2;Rolling: flat products
D3;Physical metallurgy of rolling and finishing
E1;NDT technology and measurement
E2;Chemical analysis
F1;Mechanical characteristics
F2;Corrosion
F3;Special and alloy steels
F4;Thin sheets
F5;Plates and heavy beams
F6;Steel structures
F7;Surface characteristics
M;Miscellaneous
P1;Reduction of ores/Processing of ferrous waste
P2;Continuous casting
P3;Continuous casting of flat products
P4;Rolling of long products
P5;Rolling of flat products/surface inspection
P6;Product treatment
B;Reduction of iron ores
T1;Iron and steelmaking
T2;Continuous casting
T3;Rolling and product treatment
T4;On-line control
I;Steel Research Workprogramme
I;Steel Research Workprogramme
I;Steel Pilot and Demonstration Workprogramme
I;Steel Pilot and Demonstration Workprogramme
C1;Primary steelmaking
C2;Secondary steelmaking
C3;Casting and solidification
D1;Rolling: long products and reheating furnaces
D2;Rolling: flat products
D3;Physical metallurgy of rolling and finishing
E1;NDT technology and measurement
E2;Chemical analysis
F1;Mechanical characteristics
F2;Corrosion
F3;Special and alloy steels
F4;Thin sheets
F5;Plates and heavy beams
F6;Steel structures
F7;Surface characteristics
M;Miscellaneous
P1;Reduction of ores/Processing of ferrous waste
P2;Continuous casting
P3;Continuous casting of flat products
P4;Rolling of long products
P5;Rolling of flat products/surface inspection
P6;Product treatment
T1;Iron and steelmaking
T2;Continuous casting
T3;Rolling and product treatment
T4;On-line control
1;ENERGY SAVING
1.1;BIOMASS HARVESTING
1.2;BUILDINGS
1.3;ENERGY INDUSTRY
1.4;GAS AND CHARCOAL FROM GASIFICATION AND PYROLYSIS
1.5;HEAT AND ENERGY FROM DIRECT COMBUSTION
1.6;INDUSTRY
1.7;PRODUCTION AND USE OF BIOGAS
1.8;PRODUCTION AND USE OF REFUSE DERIVED FUEL (RDF)
1.9;TRANSPORT
1.10;TREATMENT OF WASTE
2;GEOTHERMAL ENERGY
2.1;ELECTRICITY GENERATION
2.2;HEATING
3;SOLAR ENERGY
3.1;THERMAL
1;BIOMASS AND ENERGY FROM WASTE
1.1;BIOMASS HARVESTING
1.2;GAS AND CHARCOAL FROM GASIFICATION AND PYROLYSIS
1.3;PRODUCTION AND USE OF BIOGAS
1.4;TREATMENT OF WASTE
2;ELECTRICITY AND HEAT
2.1;ELECTRICITY
2.2;HEAT
3;ENERGY SAVING
3.1;BUILDINGS
3.2;INDUSTRY
3.3;TRANSPORT
4;GEOTHERMAL ENERGY
4.1;HEATING
5;HYDROELECTRICITY
6;SOLAR ENERGY
6.1;PHOTOVOLTAIC
6.2;THERMAL
7;SOLID FUELS
7.1;ATMOSPHERIC FLUIDIZED BED COMBUSTION
7.2;COMBUSTION INTEGRATED TO THE END-USE CYCLE
7.3;FLUE GAS CLEANING
7.4;ULTRA-CLEAN COALS AND WASTE MANAGEMENT (WM)
7.5;USE OF PULVERIZED SOLID FUEL
8;WIND ENERGY
1;BIOMASS AND ENERGY FROM WASTE
1.1;COMPOST AND FERTILIZERS PRODUCTION
1.2;GAS AND CHARCOAL FROM GASIFICATION AND PYROLYSIS
1.3;HEAT AND ENERGY FROM DIRECT COMBUSTION
1.4;PRODUCTION AND USE OF REFUSE DERIVED FUEL (RDF)
1.5;PRODUCTION AND USE OF BIOGAS
1.6;TREATMENT OF WASTE
2;ELECTRICITY AND HEAT
2.1;ELECTRICITY
2.2;HEAT
3;ENERGY SAVING
3.1;AGRICULTURE
3.2;BUILDINGS
3.3;ENERGY INDUSTRY
3.4;INDUSTRY
3.5;TRANSPORT
4;GEOTHERMAL ENERGY
4.1;HEATING
4.2;INDUSTRY
5;HYDROELECTRICITY
6;LIQUEFACTION AND GASIFICATION
6.1;GASIFICATION
7;SOLAR ENERGY
7.1;PHOTOVOLTAIC
7.2;THERMAL
8;SOLID FUELS
8.1;ATMOSPHERIC FLUIDIZED BED COMBUSTION
8.2;ATMOSPHERIC FLUIDIZED BED COMBUSTION
8.3;COMBUSTION INTEGRATED TO THE END-USE CYCLE
8.4;USE OF PULVERIZED SOLID FUEL
8.5;USE OF WASTE
8.6;VARIOUS
9;WIND ENERGY
1;HYDROCARBONS
1.1;AUXILIARY SHIPS AND SUBMERSIBLES
1.2;DRILLING
1.3;ENERGY SOURCES
1.4;GEOPHYSICS AND PROSPECTING
1.5;IMPROVED OIL RECOVERY
1.6;MISCELLANEOUS
1.7;NATURAL GAS TECHNOLOGY
1.8;PIPELINES
1.9;PRODUCTION SYSTEMS
1;HYDROCARBONS
1.1;AUXILIARY SHIPS AND SUBMERSIBLES
1.2;DRILLING
1.3;ENVIRONMENTAL INFLUENCE
1.4;GEOPHYSICS AND PROSPECTING
1.5;IMPROVED OIL RECOVERY
1.6;MISCELLANEOUS
1.7;NATURAL GAS TECHNOLOGY
1.8;PIPELINES
1.9;PRODUCTION SYSTEMS
1.10;TRANSPORT
1;LIQUEFACTION AND GASIFICATION
1.1;GASIFICATION
1;BIOMASS AND ENERGY FROM WASTE
1.1;COMPOST AND FERTILIZERS PRODUCTION
1.2;GAS AND CHARCOAL FROM GASIFICATION AND PYROLYSIS
1.3;HEAT AND ENERGY FROM DIRECT COMBUSTION
1.4;PRODUCTION AND USE OF BIOGAS
1.5;PRODUCTION AND USE OF REFUSE DERIVED FUEL (RDF)
1.6;PRODUCTION OF PROTEINS
1.7;TREATMENT OF WASTE
2;ENERGY SAVING
2.1;BUILDINGS
2.2;ENERGY INDUSTRY
2.3;INDUSTRY
2.4;TRANSPORT
3;GEOTHERMAL ENERGY
3.1;ELECTRICITY GENERATION
3.2;HEATING
3.3;INDUSTRY
4;HYDROELECTRICITY
5;OIL AND GAS
5.1;AUXILIARY SHIPS AND SUBMERSIBLES
5.2;DRILLING
5.3;ENVIRONMENTAL INFLUENCE
5.4;GEOPHYSICS AND PROSPECTING
5.5;IMPROVED OIL RECOVERY
5.6;MISCELLANEOUS
5.7;NATURAL GAS TECHNOLOGY
5.8;PIPELINES
5.9;PRODUCTION SYSTEMS
5.10;TRANSPORT
6;SOLAR ENERGY
6.1;PHOTOVOLTAIC
6.2;THERMAL
7;SOLID FUELS
7.1;ATMOSPHERIC FLUIDIZED BED COMBUSTION
7.2;GASIFICATION
7.3;HOT GAS CLEANING
7.4;PRESSURIZED FLUIDIZED BED COMBUSTION
7.5;PYROLYSIS/LIQUEFACTION
7.6;ULTRA-CLEAN COALS AND WASTE MANAGEMENT (WM)
7.7;USE OF PULVERIZED SOLID FUEL
8;WIND ENERGY
1.11;AGRICULTURE
7.8;FLUE GAS CLEANING
7.9;INTEGRATED GASIFICATION WITH COMBINED CYCLE (IGCC)
1.5;HEAT AND ENERGY FROM DIRECT COMBUSTION
3.4;ENERGY INDUSTRY
4.2;ELECTRICITY GENERATION
1.7;COMPOST AND FERTILIZERS PRODUCTION
4.3;ELECTRICITY GENERATION
1.10;ENVIRONMENTAL INFLUENCE
1.11;STORAGE
1.12;TRANSPORT
1.11;ENERGY SOURCES
1;Accompanying measures for the specific programme of research and technological development in the field of information technologies
1;Computerized bibliographies, Parts I and II
2;International interconnection of systems
3;Provision of new library services using information and communication technologies
4;Stimulation of a European market in telematics products and services for libraries
1.2;Service packages to enhance international use of national bibliographic records (conversion programmes, delivery mechanisms, standards, etc)
1.4;Use of OCR/ICR for RECON
2.10;Acquisition functions using EDIFACT
2.11;Fast document transfer and delivery
2.9;Retrieval function: interconnected OPACs
2.12;X.500 directories
2.9 bis;SR target development and their interconnection
3.15;New information products in libraries (optical disc, local information files, etc)
3.13;Extension of access and availability of bibliographic/catalogue information
3.14;Access to and/or delivery of documents
3.21;Integrating access to networks and electronic documents/resources for delivery of new library services
3.15 bis;Library services using new information products
4.17;New bibliographic record products and services applying internationally recognized standards
4.16;"Tool boxes for interfacing such as: developing user interfaces, interfaces to electronically published materials; interfacing in a functionally integrated manner different application modules from different suppliers"
4.16 bis;Interfacing in library applications via client-server models
4.18 bis;Models and tools to support decision making in libraries
4.19 bis;Applications of tools and techniques to support multilingual access to library catalogues and documents
I;STRATEGIES FOR THE USE OF TELEMATICS TECHNOLOGIES, SYSTEMS AND SERVICES, WITH CONTRIBUTION TO THE DEFINITION OF COMMON FUNCTIONAL SPECIFICATIONS.
I.2;Harmonisation of Medical and Health Care Management Data and Technology, Common Functional Specifications, Standards and Communication Protocols
II.1;Alphanumeric Data and Coding Standards
I.1;Identification of User Needs, Regulatory Tools, Incentives and Criteria for Appropriate Use of Technology in Health Care
II.2;Images and Biosignals
II.3;Integrated Medical Instrumentation and Devices
II.4;Knowledge Based and Decision Support Systems
II.6;Health Care Communication Systems
II.8;Modularity and Integration of Medical Information and Archiving Systems
II.9;Technologies and Services for the Handicapped and Elderly
III;VALIDATION AND INTEGRATION
III.1;Pilots for Integrating Medical Equipments and Information Systems
III.2;Applications for validation
A;Actions to be financed within the Community
0;LIFE 94 Priority actions
A1;Promotion of sustainable development and the quality of the environment
A11;Introduction of new techniques and methods of measuring and monitoring the quality of the environment
A12;Development of new clean technologies
A121;Introduction of clean technologies into the surface treatment sector
A126;Introduction of clean technologies into the graphic industry sector
A123;Introduction of clean technologies into the tanneries sector
A125;Introduction of clean technologies into the agri-food sector
A127;Introduction of clean technologies into the plastic industry sector
A128;Introduction of clean technologies into the metal processing sector
A13;Development of techniques for the collection, storage, recycling and disposal of waste, particularly toxic and dangerous waste and waste water
A14;Development of techniques for locating and restoring sites contaminated by hazardous waste and/or hazardous substances
A15;Development of models to integrate environmental factors into land-use planning and management, and socio-economic activities
A151;Introduction of models to integrate the environment in the land-use planning and management of the rural environment
A152;Promotion of sustainable tourism and the implementation of new concepts which respect the natural environment
A16;Reduction of discharge into the aquatic environment of nutritive substances and potentially bio-accumulative toxic, persistent pollutants
A17;Improvement of the quality of the environment in the urban area in both central and peripheral zones
A171;Implementation and development of integrated management models for the reduction of the pressure of traffic in the urban public space
A172;Implementation and development of integrated management models for the mixed planning use of space
A25;Protection and conservation of areas of fresh ground water and fresh surface water
A3;Administrative structures and environment services
A4;Education, training and information
A2;Protection of habitats and of nature
A21;Conservation of endangered species or restoration of biotypes which are their habitat pursuant to Directive 79/409/EEC
A211;Conservation measures concerning special protection areas
A212;Recovery of priority species
A22;Maintenance of natural habitats and the animal and plant species listed in Directive 92/43/EEC
A221;Inventories and compilation of data by major ecosystems or major taxonomic orders
A222;Emergency actions to prevent the decline of priority natural habitats or priority species
A223;Conservation actions or initiatives conducted jointly by two or more Member States
A31;Increasing cooperation between the authorities of the Member States for the control of transboundary and global environmental problems
A32;Modernization and development of monitoring networks for strengthening environmental legislation
A44;Dissemination of knowledge concerning sound management of the environment
B;Actions to be financed outside the Community
B2;Provision of technical assistance for the establishment of environmental policies and action programmes for the protection of nature
5.11;STORAGE
7.10;LOW-NOX COMBUSTION
1.2;LIQUEFACTION
1.8;BIOMASS HARVESTING
3.2;SWIMMING POOLS
1.8;THERMO-CHEMICAL TREATMENT
7.6;ATMOSPHERIC FLUIDIZED BED COMBUSTION
8.7;FLUE GAS CLEANING
6.2;LIQUEFACTION
A441;Exchange of experiences and good practices in the field of eco-management, environmental audit and environmental hearings
T.100;IBC common functional specifications and consensus management
T.700;Global reference model development
T.707;Reference configuration development
T.708;System aspects of satellites in CPN
T.709;Systems aspects of interconnection of IBC islands by satellite
T.710;Concepts, interfaces and protocols for IBCN interworking with existing networks
T.712;Image network interworking
T.714;IBC mobile system architecture
T.715;Radio sub-system architectures for mobile access
T.718;Socio-economic and technological impact assessments and forecasts
T.720;IBC implementation strategies
T.721;IBC implementation in peripheral and rural areas
T.722;Monitoring of optical network implementations and their evolution
T.724;Monitoring of IBC CPN evolution
T.725;Customer premises equipment in a multimedia, multi-system environment
T.726;System aspects of CMC technology in the CPN
T.728;Compatability of public network protocols with CPN installations
T.730;Transition to an integrated mobile communications environment
T.732;Mobile service implementation
T.733;Mobile cell planning methods
T.736;Concepts and architectures for the personal communication space
T.737;Image communication open architecture
T.738;User control of communications management
T.740;Service management
T.741;Performance management
T.746;Active information
T.748;Procedures and tools for techno-economic evaluation and prospective demand analysis
T.750;Overall functional architecture for ISE
T.751;Service handling functions
T.755;Subject management for integrated services
T.756;Resource management for integrated services
T.758;Reference configurations for the service machine
T.761;Reference model for user interactions
T.765;Application strategies for advanced communications
T.766;Usage and operational requirements
T.767;Functional specifications of resources for applications
T.769;Consolidation of technical results of experiments
T.776;Security architecture definition
T.777;Administrative security requirements
T.778;Definition of audit processes, services and protocols
T.781;Secure directory management
T.783A;Anonymity requirements and possible solutions in IBC
T.784;Mobile communication and security
T.787;Security attributes
T.788;Security certificates
T.789;European identity management study
T.792;Security auditors/consultants
T.794;Strategy for the coordination and diffusion of security demonstrators and pilots
T.801;Virtual private networks management
T.802;Services management in a MAN-type architecture
T.803;Management of personal communication space
T.806;Propagation studies in support of mobile system design
T.807;Radio technologies for fixed and mobile users
T.809;Speech and image coding for mobile communication
T.811;Image transcoding between different formats in the CPN
T.812;High-quality still picture coding for display on domestic HDTV receivers
T.813;Bandwidth-efficient coding and modulation for IBC on bandwidth-limited media
T.814;Cost-effective coding and modulation for IBC recording on bandwidth-limited recording media
T.817;Image synthesis technology
T.819;3D picture capture, coding and presentation
T.820;Advanced image communication scenarios
T.822;Techniques enabling the transition to connectionless services between CPNs
T.823;ATM technology evolution for the provision of high-speed services
T.824;Signalling
T.826;Communications management in the BCPN
T.830;Upgrading of the first generation CAC systems
T.831;Second generation broadband CAC systems of enhanced performance
T.832;Applications of optical amplification
T.833;Applications of photonic switching
T.834;Advanced concepts in optical communications
T.835;Optical networks layout: optical cables and passive components design and installation practice
T.839;IBC programming support
T.840;Implementation options for communications management
T.847;Techniques for the creation and instantiation of services
T.849;User service interaction
T.850;User control and ad hoc services creation
T.851;Intelligent communication agents
T.857;Services for people with special needs
T.859;Acceptability of security mechanisms
T.860;General framework for resource package definition tasks
T.861;Resource package for distributed case handling
T.862;Resource package for interpersonal communications
T.863;Resource package for remote delivery of expertise
T.864;Resource package for distributed collaborative decision making
T.865;Resource package for distributed learning/training
T.866;Resource package for monitoring and surveillance
T.867;Resource package for telemarketplace
T.868;Resource package for entertainment/leisure distribution
T.869;Resource package for multimedia interpersonal messaging
T.870;Resource package for multimedia information assembly, access and distribution
T.871;Resource package for distributed collaborative design
T.873;Resource package prototyping and validation
T.875;Techniques for elicitation, simulation and presentation
T.878A;Information security consolidation
T.880;Encipherment - administrative and operational requirements
T.881;Malicious software and IBC
T.883;Generic security servers design and prototypes
T.884;Trusted network interface module (TNIM)
T.886A;Management software for distributed security facilities
T.888;Secure protocols
T.889A;Multimedia security
T.890A;Resilience of IBC infrastructure
T.891;Prototype security architecture
T.892A;Secure directory management - prototype
T.893;End-user payments and conditional access
T.894;Real-time security audit in distributed systems
T.895;Security policy
T.896;Tools to establish confidence in services, products and systems
T.897;International security gateways design studies and prototypes
T.898;Mobile communication and security
T.899;Formal methods applied to advanced secure communications
T.901;Digital HDTV service verification
T.902;CPN for HDTV production
T.903;Communications management demonstrator framework and assessment
T.905;Integration of communications management prototypes
T.906;IBC network prototype integration
T.907;Mobile sub-system integration for system verification
T.908;Validation of CPN environment and equipment for PSN
T.911;Application of ISE by the service creation industry
T.923;Integration and verification of the security architecture
T.929;Security pilots in end-user applications
T.940;Advanced communications application experiments
T.940A;Advanced communications application experiments in rural areas
T.941;Server module kit for application experiments
T.942;Workplace module kit for application experiments
T.943;Network management system for usage and performance measurement
T.951;Planning and coordination of the implementation of test networks
T.961;Verification tools for service quality
T.962;Protocol verification technology for IBC
T.965;Verification tools for optical networks
T.1001;Integrated networks
T.1002;Verification of end-to-end network interoperation
T.1003;Broadband applications and interworking among IBC islands
T.1013;Implementation of services for personal communications space
T.1014;Integrated service engineering demonstration
T.1015;Evolution and viability of ISE architectures
T.1026;Integration of satellites in the future mobile networks
T.1027;Components for mobile telecommunications systems
T.1038;Digital image communications
T.1040;Open network security
6.1;Assessment of methodology and tools for systems development and validation in application engineering, and software production and distribution environments for Telematics projects
T.1049;Advanced communications application experiments in the automotive industry
T.1050;Advanced communications application experiments in rural areas
6.2;Specification of the organisational and practical basis for implementing the Telematics project and general management guidelines
PL1;Project line 1 - IBC developments
PL2;Project line 2 - Intelligence in networks and flexible resource management
PL3;Project line 3 - Mobile and personal communications
PL4;Project line 4 - Image and data communications
PL5;Project line 5 - Service engineering
PL6;Project line 6 - Information security
PL7;Project line 7 - Advanced communication experiments
PL8;Project line 8 - Test infrastructure and interworking
6.3;Recommendations for the detailed aspects of operational telematics systems and services, and of procurement specifications for transnational and pan-European Telematics projects
6.4;Assessment of future trends in process engineering in the user sectors covered by the next Telematics programme in order to identify medium to long term RTD work in telematics engineering
1;AIDS
1.1;Research in AIDS disease control and prevention (epidemiology)
1.2;Viro-immunological research (basic research)
1.3;Clinical research on AIDS
1.4;Development of vaccines against AIDS (EVA)
1;Improvement of the infrastructure for human genome analysis
1.1;EUROGEM
1.2;The resource centres
2;Transnational research projects
2.1;Physical mapping/ordered clone libraries
2.2;Improvement of methods and basis for the study of the human genome
6;Telematics engineering
1;Language engineering
1.1;Teleservices
1.2;Authoring tools
1.3;Information access and management
1.4;Foreign language acquisition
1.5;Reusable language resources
7.8;VARIOUS
4;BIOMASS AND ENERGY FROM WASTE
4.1;PRODUCTION AND USE OF BIOGAS
8.8;MIXTURES OF SOLID FUELS WITH LIQUIDS
7.7;MIXTURES OF SOLID FUELS WITH LIQUIDS
2;Epidemiology
2.1;Cancer
2.2;Age-related health problems
2.3;Environment and life-style related health problems
5;Telematics for urban areas
5.1;Employment opportunities for teleworkers
5.2;Risks of job outflows vs opportunities for new jobs in European urban areas
5.3;Definition of 'urban demand' for telematics
5.4;Public authorities and structural adaptation of urban areas in the new 'information society'
1;Coordination and consensus development
1.1;Organisation and management of consensus development and concerted actions
1;Telecommunications
2;Metallurgy and Materials Sciences
3;Environment
4;Agriculture and Biotechnology
5;Food Technology
6;Social Sciences
7;Medical Research
8;Civil Engineering
3;Towards coordination of cancer research in Europe
3.1;Research towards early detection and improved diagnosis: strategic approach number I
3.1.1;Genetics and cancer
3.2;Research towards improved local treatment: strategic approach number II
3.2.1;Radiotherapy
3.3;Research towards improved systemic treatments: strategic approach number III
3.3.1;Drug targeting
3.3.2;Immunology and cancer
3.4;Clinical research
3;AIDS
3.2;Viro-Immunological Research (Basic Research)
2.1;AGRICULTURE
2.2;INDUSTRY
2.3;BUILDINGS - RESIDENTIAL
2.4;BUILDINGS - COMMERCIAL
2.5;TRANSPORTATION
2.6;TRANSECTORIAL
30.1;ENERGY EFFICIENCY
30.10;THIRD PARTY FINANCING (TPF)
30.11;DEMAND SIDE MANAGEMENT (DSM)
30.12;ENVIRONMENTAL MANAGEMENT
30.13;LABELLING
30.14;LEAST COST PLANNING (LCP)
30.15;INTEGRATED RESOURCE PLANNING (IRP)
30.16;ENERGY POLICY
30.18;ENERGY ANALYSIS
30.2;URBAN POLLUTION
30.3;CO2 EMISSION
30.5;ENERGY MANAGEMENT
30.6;ENERGY AUDIT
30.7;INFORMATION SYSTEMS
30.8;MONITORING AND TARGETING
30.9;MAINTENANCE
31.1;COGENERATION
31.2;BOILER IMPROVEMENT
32.2;INSULATION
32.3;DISTRICT HEATING
32.4;REHABILITATION
33.1;HOME-WORKING
33.2;APPLIANCES
34.1;ROAD PRICING
34.2;FUEL CONSUMPTION
34.3;FUEL MANAGEMENT
34.4;TRAFFIC MANAGEMENT
35.1;AIR-CONDITIONING
35.2;COOLING SYSTEMS
35.3;CONTROL SYSTEMS
35.4;LIGHTING
35.5;HEATING
35.6;COOKING, FREEZING
36.1;PROCESS HEAT
36.2;ELECTRIC POWER
36.3;LOW TEMPERATURE HEAT
37.1;ELECTRIC MOTORS
37.2;HEAT PUMPS
37.3;IC ENGINES
38.1;WASTE
38.2;RENEWABLE ENERGY SOURCES (RES)
39.1;ALL
1;Access to technology and related services
1.1;Educational and vocational support
1.2;Teleworking
1.3;Telecommunication and teleinformation
1.4;Computer environments and public terminals
2;Life at home and remote care
2.1;Home
2.2;Location and remote support
3;Mobility and transport
3.1;Advanced wheelchairs
3.2;Orientation
3.3;Information on public transport
4;Control and manipulation
4.1;Integrated controls
4.2;Robotics systems
5;Restoration and enhancement of function
5.1;Training of natural speech or signing
5.2;Synthetic speech devices
5.3;Tools for sign language
5.4;Augmentative communication solutions
5.5;Hearing enhancement
5.6;Vision enhancement
5.7;Motor rehabilitation
5.8;Functional electrical stimulation
5.9;Abilities training
6;User and market issues
1;Molecular approaches
1.1;Protein structure and function
1.2;Gene structure
1.3;Expression of genes
2;Cellular and organism approaches
2.1;Cellular regeneration, reproduction and development of living organisms
2.2;Metabolism of animals, plants and microbes: essential physiological traits
2.3;Communication systems within living matter
3;Ecology and population biology
3.1;Ecological implications of biotechnology
3.2;Conservation of genetic resources
4;Horizontal activities common to all areas
4.1;Assessment of the ethical and socio-economic effects and technological risks from biotechnology
4.2;Information infrastructure
2;Information Engineering
2.1;Multimedia Publishing
111;Conversion, diversification and extensification
112;Interaction between agriculture/horticulture and the environment
113;Product quality
121;Silvicultural planning and management
122;Novel silvicultural systems
123;Interaction between silviculture and the environment
131;Improved assessment methods
132;Modelling
133;Fisheries development
134;Scientific basis for regulations and their enforcement
141;Description and classification
142;Analysis and prediction
211;Nutrition and irrigation of crops
212;Pest, disease, weed and abiotic stress control
213;Genetics and breeding
220;Inputs to forestry
231;Improved animal nutrition and feed
232;Animal health and well being
233;Genetics and breeding
240;Equipment and monitoring systems
251;Health of aquacultural stocks
252;New species
253;Interaction between aquaculture and the environment
254;Reproduction and larval rearing
255;Improvement and conservation of the genetic basis of aquaculture
261;Fishing gear performance
262;Fishing gear development
311;Food safety
312;Food quality
313;Nutritional wholesomeness of food products
314;Environmental impact of food processing
315;Packaging, distribution and preservation
322;First level of processing (separation, extraction and mechanical processing)
323;Transformation and conservation-biological processing
324;Transformation and conservation-combined processing (combination of different process technologies)
325;Bioenergy
411;Consumer safety
412;Interaction between diet and health
413;Acceptability of food
414;Speciality or functional foods
415;Understanding of food properties
416;Prenormative food research
421;Assessment of market requirements
